movie_title,director_name,language,country,genres,actor_1_name,actor_2_name,actor_3_name,comb
the good dinosaur,Peter Sohn,English,USA,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn English USA Adventure Animation Comedy Family Fantasy A.J. Buckley Jack McGraw Peter Sohn
brave,Mark Andrews,English,USA,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews English USA Adventure Animation Comedy Family Fantasy Kelly Macdonald John Ratzenberger Julie Walters
star trek beyond,Justin Lin,English,USA,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin English USA Action Adventure Sci-Fi Thriller Sofia Boutella Melissa Roxburgh Lydia Wilson
wall·e,Andrew Stanton,English,USA,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton English USA Adventure Animation Family Sci-Fi John Ratzenberger Fred Willard Jeff Garlin
rush hour 3,Brett Ratner,English,USA,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner English USA Action Comedy Crime Thriller Tzi Ma Dana Ivey Noémie Lenoir
2012,Roland Emmerich,English,USA,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich English USA Action Adventure Sci-Fi Oliver Platt Liam James Tom McCarthy
a christmas carol,Robert Zemeckis,English,USA,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis English USA Animation Drama Family Fantasy Robin Wright Colin Firth Gary Oldman
jupiter ascending,Lana Wachowski,English,USA,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski English USA Action Adventure Sci-Fi Channing Tatum Mila Kunis Eddie Redmayne
the legend of tarzan,David Yates,English,USA,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates English USA Action Adventure Drama Romance Christoph Waltz Alexander Skarsgård Casper Crump
"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,English,USA,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson English USA Adventure Family Fantasy Jim Broadbent Kiran Shah Shane Rangi
x-men: apocalypse,Bryan Singer,English,USA,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer English USA Action Adventure Sci-Fi Jennifer Lawrence Michael Fassbender Tye Sheridan
the dark knight,Christopher Nolan,English,USA,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan English USA Action Crime Drama Thriller Christian Bale Heath Ledger Morgan Freeman
up,Pete Docter,English,USA,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter English USA Adventure Animation Comedy Family John Ratzenberger Delroy Lindo Jess Harnell
monsters vs. aliens,Rob Letterman,English,USA,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman English USA Action Adventure Animation Comedy Family Sci-Fi Amy Poehler Rainn Wilson Stephen Colbert
iron man,Jon Favreau,English,USA,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau English USA Action Adventure Sci-Fi Robert Downey Jr. Jeff Bridges Jon Favreau
hugo,Martin Scorsese,English,USA,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese English USA Adventure Drama Family Mystery Chloë Grace Moretz Christopher Lee Ray Winstone
wild wild west,Barry Sonnenfeld,English,USA,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld English USA Action Comedy Sci-Fi Western Will Smith Salma Hayek Bai Ling
the mummy: tomb of the dragon emperor,Rob Cohen,English,USA,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen English USA Action Adventure Fantasy Horror Thriller Jet Li Brendan Fraser Russell Wong
suicide squad,David Ayer,English,USA,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer English USA Action Adventure Comedy Sci-Fi Will Smith Robin Atkin Downes Ike Barinholtz
evan almighty,Tom Shadyac,English,USA,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac English USA Comedy Family Fantasy Jimmy Bennett Morgan Freeman Steve Carell
edge of tomorrow,Doug Liman,English,USA,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman English USA Action Adventure Sci-Fi Tom Cruise Lara Pulver Noah Taylor
waterworld,Kevin Reynolds,English,USA,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds English USA Action Adventure Sci-Fi Thriller Jeanne Tripplehorn Rick Aviles Zakes Mokae
g.i. joe: the rise of cobra,Stephen Sommers,English,USA,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers English USA Action Adventure Sci-Fi Thriller Joseph Gordon-Levitt Dennis Quaid Leo Howard
inside out,Pete Docter,English,USA,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter English USA Adventure Animation Comedy Drama Family Fantasy Amy Poehler Mindy Kaling Phyllis Smith
the jungle book,Jon Favreau,English,UK,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau English UK Adventure Drama Family Fantasy Scarlett Johansson Bill Murray Garry Shandling
iron man 2,Jon Favreau,English,USA,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau English USA Action Adventure Sci-Fi Robert Downey Jr. Scarlett Johansson Jon Favreau
snow white and the huntsman,Rupert Sanders,English,USA,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders English USA Action Adventure Drama Fantasy Chris Hemsworth Kristen Stewart Sam Claflin
maleficent,Robert Stromberg,English,USA,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg English USA Action Adventure Family Fantasy Romance Angelina Jolie Pitt Sharlto Copley Sam Riley
dawn of the planet of the apes,Matt Reeves,English,USA,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves English USA Action Adventure Drama Sci-Fi Gary Oldman Judy Greer Kodi Smit-McPhee
the lovers,Roland Joffé,English,Belgium,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé English Belgium Action Adventure Romance Sci-Fi Tamsin Egerton Alice Englert Bipasha Basu
47 ronin,Carl Rinsch,English,USA,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch English USA Action Adventure Drama Fantasy Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi
captain america: the winter soldier,Anthony Russo,English,USA,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo English USA Action Adventure Sci-Fi Scarlett Johansson Chris Evans Hayley Atwell
shrek forever after,Mike Mitchell,English,USA,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell English USA Adventure Animation Comedy Family Fantasy Jon Hamm Kathy Griffin Mary Kay Place
tomorrowland,Brad Bird,English,USA,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird English USA Action Adventure Family Mystery Sci-Fi Judy Greer Chris Bauer Thomas Robinson
big hero 6,Don Hall,English,USA,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall English USA Action Adventure Animation Comedy Drama Family Sci-Fi Damon Wayans Jr. Daniel Henney Abraham Benrubi
wreck-it ralph,Rich Moore,English,USA,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore English USA Adventure Animation Comedy Family Sci-Fi Jack McBrayer Sarah Silverman Joe Lo Truglio
the polar express,Robert Zemeckis,English,USA,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis English USA Adventure Animation Family Fantasy Tom Hanks Eddie Deezen Peter Scolari
independence day: resurgence,Roland Emmerich,English,USA,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich English USA Action Adventure Sci-Fi Vivica A. Fox Sela Ward Judd Hirsch
how to train your dragon,Dean DeBlois,English,USA,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois English USA Adventure Animation Family Fantasy Gerard Butler America Ferrera Craig Ferguson
terminator 3: rise of the machines,Jonathan Mostow,English,USA,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow English USA Action Sci-Fi Nick Stahl M.C. Gainey Carolyn Hennesy
guardians of the galaxy,James Gunn,English,USA,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn English USA Action Adventure Sci-Fi Bradley Cooper Vin Diesel Djimon Hounsou
interstellar,Christopher Nolan,English,USA,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan English USA Adventure Drama Sci-Fi Matthew McConaughey Anne Hathaway Mackenzie Foy
inception,Christopher Nolan,English,USA,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan English USA Action Adventure Sci-Fi Thriller Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt
godzilla resurgence,Hideaki Anno,Japanese,Japan,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno Japanese Japan Action Adventure Drama Horror Sci-Fi Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda
the hobbit: an unexpected journey,Peter Jackson,English,USA,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson English USA Adventure Fantasy Aidan Turner Adam Brown James Nesbitt
the fast and the furious,Rob Cohen,English,USA,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen English USA Action Crime Thriller Paul Walker Vin Diesel Jordana Brewster
the curious case of benjamin button,David Fincher,English,USA,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher English USA Drama Fantasy Romance Brad Pitt Jason Flemyng Julia Ormond
x-men: first class,Matthew Vaughn,English,USA,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn English USA Action Adventure Sci-Fi Jennifer Lawrence Michael Fassbender Oliver Platt
the hunger games: mockingjay - part 2,Francis Lawrence,English,USA,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence English USA Adventure Sci-Fi Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson
the sorcerer's apprentice,Jon Turteltaub,English,USA,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub English USA Action Adventure Family Fantasy Nicolas Cage Omar Benson Miller Robert Capron
poseidon,Wolfgang Petersen,English,USA,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen English USA Action Adventure Drama Thriller Jimmy Bennett Mike Vogel Andre Braugher
alice through the looking glass,James Bobin,English,USA,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin English USA Adventure Family Fantasy Johnny Depp Alan Rickman Anne Hathaway
shrek the third,Chris Miller,English,USA,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller English USA Adventure Animation Comedy Family Fantasy Justin Timberlake Eric Idle Rupert Everett
warcraft,Duncan Jones,English,USA,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones English USA Action Adventure Fantasy Dominic Cooper Callum Rennie Ruth Negga
terminator genisys,Alan Taylor,English,USA,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor English USA Action Adventure Sci-Fi J.K. Simmons Emilia Clarke Matt Smith
the chronicles of narnia: the voyage of the dawn treader,Michael Apted,English,USA,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted English USA Adventure Family Fantasy Bruce Spence Shane Rangi Laura Brent
pearl harbor,Michael Bay,English,USA,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,Michael Bay English USA Action Drama History Romance War Jennifer Garner Jaime King Mako
transformers,Michael Bay,English,USA,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay English USA Action Adventure Sci-Fi Zack Ward Michael O'Neill Kevin Dunn
alexander,Oliver Stone,English,Germany,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone English Germany Action Adventure Biography Drama History Romance War Anthony Hopkins Angelina Jolie Pitt Brian Blessed
harry potter and the order of the phoenix,David Yates,English,UK,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates English UK Adventure Family Fantasy Mystery Robert Pattinson Daniel Radcliffe Fiona Shaw
harry potter and the goblet of fire,Mike Newell,English,UK,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell English UK Adventure Family Fantasy Mystery Robert Pattinson Daniel Radcliffe Rupert Grint
hancock,Peter Berg,English,USA,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg English USA Action Drama Will Smith Charlize Theron Eddie Marsan
i am legend,Francis Lawrence,English,USA,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,Francis Lawrence English USA Drama Horror Sci-Fi Will Smith Alice Braga Willow Smith
charlie and the chocolate factory,Tim Burton,English,USA,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,Tim Burton English USA Adventure Comedy Family Fantasy Johnny Depp Christopher Lee David Kelly
ratatouille,Brad Bird,English,USA,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird English USA Animation Comedy Family Fantasy Janeane Garofalo John Ratzenberger Brian Dennehy
batman begins,Christopher Nolan,English,USA,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan English USA Action Adventure Christian Bale Liam Neeson Morgan Freeman
madagascar: escape 2 africa,Eric Darnell,English,USA,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell English USA Action Adventure Animation Comedy Family Bernie Mac Jada Pinkett Smith Cedric the Entertainer
night at the museum: battle of the smithsonian,Shawn Levy,English,USA,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy English USA Adventure Comedy Family Fantasy Robin Williams Rami Malek Steve Coogan
x-men origins: wolverine,Gavin Hood,English,USA,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood English USA Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman Ryan Reynolds Dominic Monaghan
the matrix revolutions,Lana Wachowski,English,Australia,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski English Australia Action Sci-Fi Essie Davis Collin Chou Nona Gaye
